timestamp;buyer;seller;symbol;currency;price;quantity
4400;;;HYDROGEL_PACK;XIRECS;10028.0;6
4500;;;HYDROGEL_PACK;XIRECS;10010.0;3
8100;;;HYDROGEL_PACK;XIRECS;10008.0;5
8700;;;VEV_4000;XIRECS;1310.0;2
10600;;;VELVETFRUIT_EXTRACT;XIRECS;5296.0;3
14200;;;VELVETFRUIT_EXTRACT;XIRECS;5293.0;5
17100;;;VELVETFRUIT_EXTRACT;XIRECS;5283.0;5
18600;;;VELVETFRUIT_EXTRACT;XIRECS;5275.0;3
18700;;;HYDROGEL_PACK;XIRECS;10004.0;2
19200;;;HYDROGEL_PACK;XIRECS;10020.0;4
19500;;;HYDROGEL_PACK;XIRECS;10019.0;2
20100;;;VELVETFRUIT_EXTRACT;XIRECS;5279.0;5
22300;;;HYDROGEL_PACK;XIRECS;10037.0;4
22800;;;VEV_4000;XIRECS;1283.0;3
23900;;;HYDROGEL_PACK;XIRECS;10022.0;2
24500;;;HYDROGEL_PACK;XIRECS;10026.0;5
25600;;;HYDROGEL_PACK;XIRECS;10026.0;3
28000;;;VELVETFRUIT_EXTRACT;XIRECS;5275.0;5
28400;;;HYDROGEL_PACK;XIRECS;10037.0;3
28500;;;VELVETFRUIT_EXTRACT;XIRECS;5271.0;7
31300;;;HYDROGEL_PACK;XIRECS;10032.0;3
31400;;;VELVETFRUIT_EXTRACT;XIRECS;5264.0;7
32700;;;VELVETFRUIT_EXTRACT;XIRECS;5265.0;5
32900;;;VEV_5300;XIRECS;45.0;3
32900;;;VEV_5400;XIRECS;14.0;3
32900;;;VEV_5500;XIRECS;4.0;3
32900;;;VEV_6000;XIRECS;0.0;3
32900;;;VEV_6500;XIRECS;0.0;3
33400;;;VELVETFRUIT_EXTRACT;XIRECS;5268.0;3
33600;;;VEV_5300;XIRECS;46.0;2
33600;;;VEV_5400;XIRECS;15.0;2
33600;;;VEV_5500;XIRECS;4.0;2
33600;;;VEV_6000;XIRECS;0.0;2
33600;;;VEV_6500;XIRECS;0.0;2
33900;;;HYDROGEL_PACK;XIRECS;10028.0;3
34200;;;HYDROGEL_PACK;XIRECS;10039.0;6
35100;;;HYDROGEL_PACK;XIRECS;10024.0;2
35500;;;HYDROGEL_PACK;XIRECS;10024.0;5
37000;;;VEV_5400;XIRECS;15.0;5
37000;;;VEV_5500;XIRECS;4.0;5
37000;;;VEV_6000;XIRECS;0.0;5
37000;;;VEV_6500;XIRECS;0.0;5
37100;;;HYDROGEL_PACK;XIRECS;10015.0;3
38400;;;HYDROGEL_PACK;XIRECS;10016.0;4
38600;;;HYDROGEL_PACK;XIRECS;10014.0;5
39100;;;VELVETFRUIT_EXTRACT;XIRECS;5258.0;5
39500;;;VELVETFRUIT_EXTRACT;XIRECS;5257.0;4
39800;;;VELVETFRUIT_EXTRACT;XIRECS;5262.0;3
40200;;;VEV_5300;XIRECS;41.0;3
40200;;;VEV_5400;XIRECS;13.0;3
40200;;;VEV_6000;XIRECS;0.0;3
40200;;;VEV_6500;XIRECS;0.0;3
43200;;;VELVETFRUIT_EXTRACT;XIRECS;5249.0;6
43600;;;VEV_4000;XIRECS;1240.0;1
45600;;;VEV_5400;XIRECS;11.0;4
45600;;;VEV_5500;XIRECS;3.0;4
45600;;;VEV_6000;XIRECS;0.0;4
45600;;;VEV_6500;XIRECS;0.0;4
47200;;;VEV_5400;XIRECS;11.0;3
47200;;;VEV_5500;XIRECS;3.0;3
47200;;;VEV_6000;XIRECS;0.0;3
47200;;;VEV_6500;XIRECS;0.0;3
48200;;;VELVETFRUIT_EXTRACT;XIRECS;5248.0;7
49700;;;VELVETFRUIT_EXTRACT;XIRECS;5250.0;7
50000;;;VELVETFRUIT_EXTRACT;XIRECS;5256.0;4
50700;;;HYDROGEL_PACK;XIRECS;10032.0;5
52300;;;HYDROGEL_PACK;XIRECS;10034.0;6
54400;;;VEV_5400;XIRECS;11.0;2
54400;;;VEV_5500;XIRECS;3.0;2
54400;;;VEV_6000;XIRECS;0.0;2
54400;;;VEV_6500;XIRECS;0.0;2
55100;;;VELVETFRUIT_EXTRACT;XIRECS;5247.0;4
56200;;;HYDROGEL_PACK;XIRECS;10037.0;6
56400;;;VELVETFRUIT_EXTRACT;XIRECS;5250.0;5
58300;;;VELVETFRUIT_EXTRACT;XIRECS;5257.0;6
60600;;;VEV_4000;XIRECS;1239.0;2
61300;;;HYDROGEL_PACK;XIRECS;10066.0;6
62400;;;VELVETFRUIT_EXTRACT;XIRECS;5246.0;5
64800;;;HYDROGEL_PACK;XIRECS;10055.0;2
67600;;;VELVETFRUIT_EXTRACT;XIRECS;5261.0;7
68000;;;VELVETFRUIT_EXTRACT;XIRECS;5261.0;5
69000;;;HYDROGEL_PACK;XIRECS;10036.0;4
69400;;;VELVETFRUIT_EXTRACT;XIRECS;5255.0;8
69900;;;VEV_5400;XIRECS;12.0;5
69900;;;VEV_5500;XIRECS;3.0;5
69900;;;VEV_6000;XIRECS;0.0;5
69900;;;VEV_6500;XIRECS;0.0;5
70100;;;VEV_5400;XIRECS;12.0;5
70100;;;VEV_5500;XIRECS;3.0;5
70100;;;VEV_6000;XIRECS;0.0;5
70100;;;VEV_6500;XIRECS;0.0;5
70200;;;VEV_4000;XIRECS;1267.0;1
70300;;;VEV_5400;XIRECS;12.0;4
70300;;;VEV_5500;XIRECS;3.0;4
70300;;;VEV_6000;XIRECS;0.0;4
70300;;;VEV_6500;XIRECS;0.0;4
74300;;;VEV_5300;XIRECS;41.0;3
